CO2;;;;Aire;;;CO2 pmm;;;
X;Y;;;X;Y;;X;Y;;pendiente
10.088;2.2942;;;10.088;3.5768;;2.31;0.83;;-0.325
14.864;2.0191;;;20.245;3.5768;;2.70;0.70;;
20.245;1.8097;;;30.301;3.5768;;3.01;0.59;;
30.301;1.5830;;;39.994;3.5768;;3.41;0.46;;
39.994;1.4361;;;50.095;3.5768;;3.69;0.36;;
50.095;1.3269;;;59.859;3.5768;;3.91;0.28;;
59.859;1.2562;;;69.677;3.5768;;4.09;0.23;;
69.677;1.1966;;;80.260;3.5768;;4.24;0.18;;
80.260;1.1328;;;90.060;3.5768;;4.39;0.12;;
90.060;1.0856;;;100.000;3.5768;;4.50;0.08;;
100.000;1.0467;;;199.63;3.5768;;4.61;0.05;;
114.59;1.0030;;;;;;4.74;0.00;;
147.34;0.9101;;;;;;4.99;-0.09;;
199.63;0.8057;;;;;;5.30;-0.22;;
